season,player,pfr_id,tm,age,pos,g,gs,att,yds,td,x1d,ybc,ybc_att,yac,yac_att,brk_tkl,att_br,loaded
2022,Derrick Henry,HenrDe00,TEN,28.0,RB,16.0,16.0,349.0,1538.0,13.0,65.0,739.0,2.1,799.0,2.3,35.0,10.0,2023-08-28
2022,Josh Jacobs,JacoJo01,LV,24.0,RB,17.0,17.0,340.0,1653.0,12.0,93.0,832.0,2.4,821.0,2.4,31.0,11.0,2023-08-28
2022,Nick Chubb,ChubNi00,CLE,27.0,RB,17.0,17.0,302.0,1525.0,12.0,69.0,830.0,2.7,695.0,2.3,28.0,10.8,2023-08-28
2022,Saquon Barkley,BarkSa00,NYG,25.0,RB,16.0,16.0,295.0,1312.0,10.0,62.0,749.0,2.5,563.0,1.9,12.0,24.6,2023-08-28
2022,Najee Harris,HarrNa00,PIT,24.0,RB,17.0,17.0,272.0,1034.0,7.0,45.0,577.0,2.1,457.0,1.7,21.0,13.0,2023-08-28
2022,Dalvin Cook,CookDa01,MIN,27.0,RB,17.0,17.0,264.0,1173.0,8.0,50.0,692.0,2.6,481.0,1.8,12.0,22.0,2023-08-28
2022,Jamaal Williams,WillJa06,DET,27.0,RB,17.0,9.0,262.0,1066.0,17.0,65.0,626.0,2.4,440.0,1.7,13.0,20.2,2023-08-28
2022,Miles Sanders,SandMi01,PHI,25.0,RB,17.0,15.0,259.0,1269.0,11.0,62.0,837.0,3.2,432.0,1.7,13.0,19.9,2023-08-28
2022,Christian McCaffrey,McCaCh01,2TM,26.0,RB,17.0,16.0,244.0,1139.0,8.0,59.0,683.0,2.8,456.0,1.9,10.0,24.4,2023-08-28
2022,Ezekiel Elliott,ElliEz00,DAL,27.0,RB,15.0,14.0,231.0,876.0,12.0,52.0,520.0,2.3,356.0,1.5,9.0,25.7,2023-08-28
2022,Kenneth Walker,WalkKe00,SEA,22.0,RB,15.0,11.0,228.0,1050.0,9.0,51.0,623.0,2.7,427.0,1.9,12.0,19.0,2023-08-28
2022,Alvin Kamara,KamaAl00,NO,27.0,RB,15.0,13.0,223.0,897.0,2.0,40.0,450.0,2.0,447.0,2.0,7.0,31.9,2023-08-28
2022,Travis Etienne,EtieTr00,JAX,23.0,RB,17.0,12.0,220.0,1125.0,5.0,52.0,738.0,3.4,387.0,1.8,14.0,15.7,2023-08-28
2022,Dameon Pierce,PierDa01,HOU,22.0,RB,13.0,13.0,220.0,939.0,4.0,54.0,433.0,2.0,506.0,2.3,27.0,8.1,2023-08-28
2022,Aaron Jones,JoneAa00,GB,28.0,RB,17.0,17.0,213.0,1121.0,2.0,54.0,645.0,3.0,476.0,2.2,13.0,16.4,2023-08-28
2022,Tyler Allgeier,AllgTy00,ATL,22.0,RB,16.0,7.0,210.0,1035.0,3.0,53.0,609.0,2.9,426.0,2.0,5.0,42.0,2023-08-28
2022,Joe Mixon,MixoJo00,CIN,26.0,RB,14.0,14.0,210.0,814.0,7.0,47.0,505.0,2.4,309.0,1.5,8.0,26.3,2023-08-28
2022,Rhamondre Stevenson,StevRh00,NE,24.0,RB,17.0,7.0,210.0,1040.0,5.0,49.0,601.0,2.9,439.0,2.1,24.0,8.8,2023-08-28
2022,Brian Robinson,RobiBr01,WAS,23.0,RB,12.0,9.0,205.0,797.0,2.0,49.0,457.0,2.2,340.0,1.7,8.0,25.6,2023-08-28
2022,Austin Ekeler,EkelAu00,LAC,27.0,RB,17.0,17.0,204.0,915.0,13.0,46.0,529.0,2.6,386.0,1.9,5.0,40.8,2023-08-28
2022,DOnta Foreman,ForeDO00,CAR,26.0,RB,17.0,9.0,203.0,914.0,5.0,45.0,505.0,2.5,409.0,2.0,10.0,20.3,2023-08-28
2022,David Montgomery,MontDa01,CHI,25.0,RB,16.0,16.0,201.0,801.0,5.0,41.0,405.0,2.0,396.0,2.0,20.0,10.1,2023-08-28
2022,Tony Pollard,PollTo00,DAL,25.0,RB,16.0,4.0,193.0,1007.0,9.0,46.0,504.0,2.6,503.0,2.6,11.0,17.5,2023-08-28
2022,Jonathan Taylor,TaylJo02,IND,23.0,RB,11.0,11.0,192.0,861.0,4.0,39.0,481.0,2.5,380.0,2.0,24.0,8.0,2023-08-28
2022,Leonard Fournette,FourLe00,TB,27.0,RB,16.0,9.0,189.0,668.0,3.0,39.0,382.0,2.0,286.0,1.5,4.0,47.3,2023-08-28
2022,Cam Akers,AkerCa00,LA,23.0,RB,15.0,9.0,188.0,786.0,7.0,39.0,379.0,2.0,407.0,2.2,13.0,14.5,2023-08-28
2022,AJ Dillon,DillAJ00,GB,24.0,RB,17.0,3.0,186.0,770.0,7.0,47.0,453.0,2.4,317.0,1.7,6.0,31.0,2023-08-28
2022,James Conner,ConnJa00,ARI,27.0,RB,13.0,13.0,183.0,782.0,7.0,48.0,444.0,2.4,338.0,1.8,5.0,36.6,2023-08-28
2022,Raheem Mostert,MostRa00,MIA,30.0,RB,16.0,14.0,181.0,891.0,3.0,44.0,512.0,2.8,379.0,2.1,16.0,11.3,2023-08-28
2022,Devin Singletary,SingDe00,BUF,25.0,RB,16.0,16.0,177.0,819.0,5.0,43.0,546.0,3.1,273.0,1.5,9.0,19.7,2023-08-28
2022,Jeff Wilson,WilsJe01,2TM,27.0,RB,16.0,7.0,176.0,860.0,5.0,43.0,582.0,3.3,278.0,1.6,9.0,19.6,2023-08-28
2022,Latavius Murray,MurrLa00,2TM,32.0,RB,13.0,7.0,171.0,760.0,6.0,44.0,478.0,2.8,282.0,1.6,5.0,34.2,2023-08-28
2022,Isiah Pacheco,PachIs00,KC,23.0,RB,17.0,11.0,170.0,830.0,5.0,37.0,537.0,3.2,293.0,1.7,4.0,42.5,2023-08-28
2022,Jalen Hurts,HurtJa00,PHI,24.0,QB,15.0,15.0,165.0,760.0,13.0,67.0,627.0,3.8,133.0,0.8,8.0,20.6,2023-08-28
2022,Justin Fields,FielJu00,CHI,23.0,QB,15.0,15.0,160.0,1143.0,8.0,65.0,856.0,5.4,287.0,1.8,10.0,16.0,2023-08-28
2022,Antonio Gibson,GibsAn00,WAS,24.0,RB,15.0,6.0,149.0,546.0,3.0,32.0,326.0,2.2,220.0,1.5,5.0,29.8,2023-08-28
2022,Cordarrelle Patterson,PattCo00,ATL,31.0,RB,13.0,11.0,144.0,695.0,8.0,39.0,414.0,2.9,281.0,2.0,4.0,36.0,2023-08-28
