Date_Time,Away_Team,Home_Team,Away_Score,Home_Score,Temperature,Weather_Condition
09/08/22 08:20 PM EDT,Bills,Rams,31,10,91 °F,Partly Cloudy
09/11/22 01:00 PM EDT,Saints,Falcons,27,26,78 °F,Mostly Cloudy
09/11/22 01:00 PM EDT,49ers,Bears,10,19,68 °F,Rain
09/11/22 01:00 PM EDT,Steelers,Bengals,23,20,75 °F,Mostly Cloudy
09/11/22 01:00 PM EDT,Eagles,Lions,38,35,74 °F,Mostly Cloudy
09/11/22 01:00 PM EDT,Patriots,Dolphins,7,20,90 °F,Humid And Partly Cloudy
09/11/22 01:00 PM EDT,Ravens,Jets,24,9,74 °F,Light Rain
09/11/22 01:00 PM EDT,Jaguars,Washington,22,28,74 °F,Humid And Overcast
09/11/22 01:00 PM EDT,Browns,Panthers,26,24,80 °F,Mostly Cloudy
09/11/22 01:00 PM EDT,Colts,Texans,20,20,88 °F,Clear
09/11/22 04:25 PM EDT,Giants,Titans,21,20,78 °F,Humid And Mostly Cloudy
09/11/22 04:25 PM EDT,Packers,Vikings,7,23,72 °F,Partly Cloudy
09/11/22 04:25 PM EDT,Chiefs,Cardinals,44,21,97 °F,Clear
09/11/22 04:25 PM EDT,Raiders,Chargers,19,24,86 °F,Clear
09/11/22 08:20 PM EDT,Buccaneers,Cowboys,19,3,82 °F,Clear
09/12/22 08:15 PM EDT,Broncos,Seahawks,16,17,75 °F,Clear
09/15/22 08:15 PM EDT,Chargers,Chiefs,24,27,79 °F,Mostly Cloudy
09/18/22 01:00 PM EDT,Jets,Browns,31,30,81 °F,Clear
09/18/22 01:00 PM EDT,Washington,Lions,27,36,81 °F,Mostly Cloudy
09/18/22 01:00 PM EDT,Buccaneers,Saints,20,10,86 °F,Humid And Mostly Cloudy
09/18/22 01:00 PM EDT,Panthers,Giants,16,19,79 °F,Clear
09/18/22 01:00 PM EDT,Patriots,Steelers,17,14,79 °F,Clear
09/18/22 01:00 PM EDT,Colts,Jaguars,0,24,81 °F,Humid And Mostly Cloudy
09/18/22 01:00 PM EDT,Dolphins,Ravens,42,38,81 °F,Clear
09/18/22 04:05 PM EDT,Falcons,Rams,27,31,74 °F,Mostly Cloudy
09/18/22 04:05 PM EDT,Seahawks,49ers,7,27,68 °F,Drizzle
09/18/22 04:25 PM EDT,Bengals,Cowboys,17,20,93 °F,Clear
09/18/22 04:25 PM EDT,Texans,Broncos,9,16,80 °F,Foggy
09/18/22 04:25 PM EDT,Cardinals,Raiders,29,23,90 °F,Clear
09/18/22 08:20 PM EDT,Bears,Packers,10,27,72 °F,Mostly Cloudy
09/19/22 07:15 PM EDT,Titans,Bills,7,41,66 °F,Mostly Cloudy
09/19/22 08:30 PM EDT,Vikings,Eagles,7,24,74 °F,Partly Cloudy
09/22/22 08:15 PM EDT,Steelers,Browns,17,29,60 °F,Mostly Cloudy
09/25/22 01:00 PM EDT,Texans,Bears,20,23,65 °F,Mostly Cloudy
09/25/22 01:00 PM EDT,Raiders,Titans,22,24,77 °F,Mostly Cloudy
09/25/22 01:00 PM EDT,Chiefs,Colts,17,20,68 °F,Partly Cloudy
09/25/22 01:00 PM EDT,Bills,Dolphins,19,21,88 °F,Humid
09/25/22 01:00 PM EDT,Lions,Vikings,24,28,66 °F,Clear
09/25/22 01:00 PM EDT,Ravens,Patriots,37,26,67 °F,Mostly Cloudy
09/25/22 01:00 PM EDT,Bengals,Jets,27,12,70 °F,Mostly Cloudy
09/25/22 01:00 PM EDT,Eagles,Washington,24,8,75 °F,Mostly Cloudy
09/25/22 01:00 PM EDT,Saints,Panthers,14,22,68 °F,Mostly Cloudy
09/25/22 04:05 PM EDT,Jaguars,Chargers,38,10,82 °F,Clear
09/25/22 04:25 PM EDT,Rams,Cardinals,20,12,102 °F,Clear
09/25/22 04:25 PM EDT,Falcons,Seahawks,27,23,72 °F,Clear
09/25/22 04:25 PM EDT,Packers,Buccaneers,14,12,89 °F,Humid And Partly Cloudy
09/25/22 08:20 PM EDT,49ers,Broncos,10,11,73 °F,Foggy
09/26/22 08:15 PM EDT,Cowboys,Giants,23,16,66 °F,Clear
09/29/22 08:15 PM EDT,Dolphins,Bengals,15,27,58 °F,Clear
10/02/22 09:30 AM EDT,Vikings,Saints,28,25,64 °F,Clear
10/02/22 01:00 PM EDT,Browns,Falcons,20,23,69 °F,Clear
10/02/22 01:00 PM EDT,Washington,Cowboys,10,25,76 °F,Clear
10/02/22 01:00 PM EDT,Seahawks,Lions,48,45,60 °F,Clear
10/02/22 01:00 PM EDT,Titans,Colts,24,17,65 °F,Clear
10/02/22 01:00 PM EDT,Bears,Giants,12,20,57 °F,Drizzle
10/02/22 01:00 PM EDT,Jaguars,Eagles,21,29,55 °F,Rain
10/02/22 01:00 PM EDT,Jets,Steelers,24,20,57 °F,Overcast
10/02/22 01:00 PM EDT,Bills,Ravens,23,20,57 °F,Light Rain
10/02/22 01:00 PM EDT,Chargers,Texans,34,24,78 °F,Clear
10/02/22 04:05 PM EDT,Cardinals,Panthers,26,16,64 °F,Overcast
10/02/22 04:25 PM EDT,Patriots,Packers,24,27,62 °F,Clear
10/02/22 04:25 PM EDT,Broncos,Raiders,23,32,88 °F,Clear
10/02/22 08:20 PM EDT,Chiefs,Buccaneers,41,31,75 °F,Clear
10/03/22 08:15 PM EDT,Rams,49ers,9,24,70 °F,Clear
10/06/22 08:15 PM EDT,Colts,Broncos,12,9,70 °F,Foggy
10/09/22 09:30 AM EDT,Giants,Packers,27,22,62 °F,Partly Cloudy
10/09/22 01:00 PM EDT,Steelers,Bills,3,38,53 °F,Partly Cloudy
10/09/22 01:00 PM EDT,Chargers,Browns,30,28,60 °F,Clear
10/09/22 01:00 PM EDT,Bears,Vikings,22,29,61 °F,Clear
10/09/22 01:00 PM EDT,Lions,Patriots,0,29,59 °F,Clear
10/09/22 01:00 PM EDT,Seahawks,Saints,32,39,73 °F,Clear
10/09/22 01:00 PM EDT,Dolphins,Jets,17,40,61 °F,Clear
10/09/22 01:00 PM EDT,Falcons,Buccaneers,15,21,84 °F,Partly Cloudy
10/09/22 01:00 PM EDT,Titans,Washington,21,17,62 °F,Clear
10/09/22 01:00 PM EDT,Texans,Jaguars,13,6,81 °F,Clear
10/09/22 04:05 PM EDT,49ers,Panthers,37,15,65 °F,Partly Cloudy
10/09/22 04:25 PM EDT,Cowboys,Rams,22,10,74 °F,Clear
10/09/22 04:25 PM EDT,Eagles,Cardinals,20,17,87 °F,Clear
10/09/22 08:20 PM EDT,Bengals,Ravens,17,19,54 °F,Clear
10/10/22 08:15 PM EDT,Raiders,Chiefs,29,30,72 °F,Partly Cloudy
10/13/22 08:15 PM EDT,Washington,Bears,12,7,47 °F,Partly Cloudy
10/16/22 01:00 PM EDT,49ers,Falcons,14,28,78 °F,Clear
10/16/22 01:00 PM EDT,Patriots,Browns,38,15,64 °F,Clear
10/16/22 01:00 PM EDT,Jets,Packers,27,10,48 °F,Overcast
10/16/22 01:00 PM EDT,Jaguars,Colts,27,34,63 °F,Clear
10/16/22 01:00 PM EDT,Vikings,Dolphins,24,16,84 °F,Humid And Partly Cloudy
10/16/22 01:00 PM EDT,Bengals,Saints,30,26,83 °F,Mostly Cloudy
10/16/22 01:00 PM EDT,Ravens,Giants,20,24,62 °F,Partly Cloudy
10/16/22 01:00 PM EDT,Buccaneers,Steelers,18,20,61 °F,Clear
10/16/22 04:05 PM EDT,Panthers,Rams,10,24,70 °F,Mostly Cloudy
10/16/22 04:05 PM EDT,Cardinals,Seahawks,9,19,77 °F,Clear
10/16/22 04:25 PM EDT,Bills,Chiefs,24,20,64 °F,Partly Cloudy
10/16/22 08:20 PM EDT,Cowboys,Eagles,17,26,59 °F,Mostly Cloudy
10/17/22 08:15 PM EDT,Broncos,Chargers,16,19,71 °F,Clear
